video_id,title,url,upload_date,duration_sec,view_count
hha_vVDPxhk,インプラントで失敗する人の共通点について岡山の歯科医師が解説します,https://www.youtube.com/watch?v=hha_vVDPxhk,,492.0,
URGMquiHofg,歯周病の恐ろしい５つのサイン　その症状手遅れ寸前？知らないと歯を失います,https://www.youtube.com/watch?v=URGMquiHofg,,342.0,
BMPeiaf5Rx8,お口の健康を守るため定期検診を続けましょう　岡山の歯科医師が日々の歯磨きと歯科医院での定期検診の大切さをお話します,https://www.youtube.com/watch?v=BMPeiaf5Rx8,,296.0,
sEetl2U6gD4,歯医者が突然消える！夜逃げ・廃業　歯科トラブルの真相　あなたの歯科医院は大丈夫ですか？,https://www.youtube.com/watch?v=sEetl2U6gD4,,820.0,
ulsXTMtqdjo,【５０代・６０代のあなたへ】こんな歯医者に通うと絶対後悔します,https://www.youtube.com/watch?v=ulsXTMtqdjo,,653.0,
Oo5lQ9sT6lQ,２０２６年６月から歯医者の予約をキャンセルするとお金がかかる？岡山の歯科医師がキャンセル料について解説します,https://www.youtube.com/watch?v=Oo5lQ9sT6lQ,,519.0,
nrVNkp9Bxms,歯医者が絶対言わない真実　10年後歯医者は消える？　AIとロボットが変える歯科医療の未来について解説します,https://www.youtube.com/watch?v=nrVNkp9Bxms,,597.0,
hJVUKnLokXU,【インプラント】わかりやすくまんがで紹介します,https://www.youtube.com/watch?v=hJVUKnLokXU,,570.0,
fDPj4D6arYg,歯医者が絶対言わない真実　入れ歯の真実　誰も教えてくれなかった入れ歯の「本当の問題」について解説します,https://www.youtube.com/watch?v=fDPj4D6arYg,,427.0,
TTqw7o_YulQ,歯医者が絶対言わない真実　歯医者が絶対食べない食べ物BEST5　あなたが毎日食べているあれが歯を蝕んでいます,https://www.youtube.com/watch?v=TTqw7o_YulQ,,513.0,
5xot6YzOdlQ,歯医者が絶対言わない真実　歯周病の恐怖　歯が抜けるだけじゃない　 命に関わる病気,https://www.youtube.com/watch?v=5xot6YzOdlQ,,546.0,
fdZjAVIo7PI,歯医者が絶対言わない真実 　インプラントの真実　成功率95%以上なのに失敗する人の共通点について対談で解説します,https://www.youtube.com/watch?v=fdZjAVIo7PI,,492.0,
mgXoPt29jwA,歯医者が絶対言わない真実 その歯磨き全部間違いです 毎日やっているのに虫歯になる理由について対談で解説します,https://www.youtube.com/watch?v=mgXoPt29jwA,,395.0,
